               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.019543,           0.0079912,                   0,             0.93331,             0.95424,             0.96308,             0.67782,            0.014758,           0.0055043,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.019037,           0.0078342,                   0,             0.93156,             0.92812,             0.96768,             0.65994,            0.015743,           0.0056578,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.018543,            0.007168,                   0,             0.94849,             0.88636,             0.95889,             0.67465,            0.015931,           0.0058129,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.018916,           0.0084571,                   0,             0.95236,             0.90874,             0.95895,             0.68691,            0.016021,           0.0058034,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.019474,           0.0075988,                   0,             0.95042,             0.90909,             0.95607,              0.6723,            0.016503,           0.0061117,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.018798,           0.0076161,                   0,             0.94936,             0.90909,             0.96044,             0.67325,             0.01586,            0.005784,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.019742,           0.0075527,                   0,             0.97309,             0.93182,             0.97096,             0.67518,            0.016059,           0.0058225,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.019086,           0.0076568,                   0,             0.92712,             0.88636,             0.94896,             0.69332,            0.015956,           0.0055598,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.017032,           0.0074054,                   0,             0.92628,             0.88636,             0.95263,             0.67425,            0.017537,            0.005647,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.018134,           0.0075242,                   0,             0.95033,             0.90909,              0.9546,             0.69728,            0.016804,            0.005887,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.018285,           0.0083167,                   0,             0.94992,             0.90909,              0.9566,             0.69878,            0.017179,           0.0056145,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.017927,           0.0078167,                   0,             0.97669,             0.95243,             0.96723,             0.71027,            0.016135,           0.0051494,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.019198,           0.0075793,                   0,             0.95346,             0.93114,             0.96179,             0.70848,            0.016116,           0.0052468,                   0,            0.002344,            0.002344,            0.002344
