               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.019174,           0.0098859,                   0,             0.97073,             0.95455,             0.97594,             0.62738,            0.017532,           0.0079525,                   0,            0.004192,            0.004192,            0.004192
                  90,             0.01895,            0.010035,                   0,             0.97671,             0.95302,             0.97573,             0.65463,            0.018159,           0.0072638,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.018779,           0.0099585,                   0,                   1,             0.94631,             0.97587,             0.67133,             0.01772,           0.0068623,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.018805,            0.010065,                   0,             0.98694,             0.95455,              0.9787,             0.65601,            0.019342,           0.0079604,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.018819,            0.010092,                   0,             0.97674,             0.95441,             0.97449,             0.67396,              0.0188,           0.0072701,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.018318,           0.0097664,                   0,              0.9755,              0.9051,             0.96209,             0.65223,            0.019026,            0.008121,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.018696,           0.0098252,                   0,             0.99212,             0.93182,             0.97435,             0.64391,            0.020672,           0.0080444,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.018325,            0.010042,                   0,             0.99587,             0.95455,             0.97593,             0.67441,            0.018477,           0.0079148,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.018434,           0.0098617,                   0,             0.97367,             0.95455,             0.96911,             0.65338,            0.019362,           0.0077278,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.018319,           0.0093479,                   0,                   1,             0.95353,             0.97365,             0.63746,            0.020127,           0.0086302,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.018361,           0.0097719,                   0,                   1,             0.95079,             0.97219,              0.6323,            0.019956,           0.0088582,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.017642,           0.0094843,                   0,             0.92839,             0.93182,             0.96162,             0.63806,            0.020176,           0.0086365,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.017729,           0.0094428,                   0,             0.95148,             0.95455,             0.97081,             0.63029,            0.019811,           0.0083871,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.017867,           0.0097092,                   0,             0.97466,             0.95455,             0.96896,             0.65273,            0.018622,           0.0081471,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.017842,           0.0094421,                   0,             0.97669,             0.95219,             0.96902,             0.62957,            0.018851,           0.0081321,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.017679,           0.0095691,                   0,             0.99684,             0.93182,             0.97408,             0.65119,            0.019086,           0.0081263,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.017534,           0.0093047,                   0,              0.9765,             0.94467,             0.96293,             0.64154,            0.019384,            0.008069,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.017624,           0.0094614,                   0,             0.99932,             0.95455,             0.96388,             0.66263,            0.019265,           0.0077338,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.017549,           0.0094366,                   0,             0.99618,             0.93182,             0.97315,             0.66467,            0.019501,           0.0076353,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.017811,           0.0094346,                   0,             0.99662,             0.95455,             0.96574,             0.65909,             0.01908,           0.0082651,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.017644,           0.0096623,                   0,                   1,             0.95322,              0.9655,              0.6607,            0.018721,           0.0079292,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.017428,           0.0095338,                   0,             0.99387,             0.95455,             0.97226,             0.66856,            0.018885,           0.0079223,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.017498,            0.009346,                   0,                   1,             0.92973,             0.96362,             0.67325,            0.017481,           0.0076971,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.017041,           0.0090245,                   0,             0.99668,             0.95455,             0.97184,             0.67479,            0.018709,            0.007278,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.017284,           0.0093095,                   0,             0.99723,             0.95455,              0.9629,             0.65894,            0.018356,           0.0075087,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.016918,           0.0091935,                   0,             0.99727,             0.95455,              0.9702,             0.66265,            0.017946,           0.0075726,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.016705,           0.0090842,                   0,                   1,             0.95117,             0.96527,             0.66318,            0.018126,           0.0078042,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.016823,           0.0091079,                   0,             0.99721,             0.95455,             0.96463,             0.66574,            0.018224,           0.0078356,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.016857,              0.0093,                   0,             0.99597,             0.95455,             0.96297,             0.65474,            0.018359,           0.0079508,                   0,            0.002344,            0.002344,            0.002344
                 118,             0.01694,           0.0091061,                   0,             0.99565,             0.95455,             0.97166,             0.64953,            0.019576,           0.0082068,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.016567,           0.0089482,                   0,             0.99546,             0.95455,             0.96527,             0.64816,            0.019234,           0.0087154,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.016468,           0.0088457,                   0,                   1,             0.95363,             0.97207,             0.65984,            0.019529,           0.0084914,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.016371,           0.0087878,                   0,             0.99454,             0.95455,             0.97299,              0.6532,            0.019116,           0.0085066,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.016321,           0.0089614,                   0,             0.99864,             0.93182,              0.9733,             0.65823,            0.019315,           0.0080135,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.016378,            0.009013,                   0,             0.98508,             0.95455,             0.96587,             0.65431,             0.01974,           0.0085827,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.015948,           0.0089231,                   0,             0.97559,             0.95455,             0.96669,             0.65132,            0.018951,           0.0087113,                   0,            0.001882,            0.001882,            0.001882
